click_datetime,reaction_time,precision_factor,round_start_time_iso,game_version,target_radius,misses_since_last_hit,round_number,click_in_round_number
2025-05-21T10:04:17.370438,3.089779853820801,0.5192598299381348,2025-05-21T10:04:14.280657,0.1,30,0,1,1
2025-05-21T10:04:20.495581,3.125143051147461,0.3631675608485734,2025-05-21T10:04:14.280657,0.1,30,0,1,2
2025-05-21T10:04:23.481329,2.9857490062713623,0.8056349368384901,2025-05-21T10:04:14.280657,0.1,30,0,1,3
2025-05-21T10:04:25.857211,2.374722957611084,0.7596299149690674,2025-05-21T10:04:14.280657,0.1,30,0,1,4
2025-05-21T10:04:27.898257,2.041046619415283,0.2479657218214348,2025-05-21T10:04:14.280657,0.1,30,0,1,5
2025-05-21T10:04:30.329718,2.4304609298706055,0.5466176497088184,2025-05-21T10:04:14.280657,0.1,30,0,1,6
2025-05-21T10:04:32.329657,1.9994325637817383,0.7132558244319125,2025-05-21T10:04:14.280657,0.1,30,1,1,7
2025-05-21T10:04:34.698204,2.368042230606079,0.9,2025-05-21T10:04:14.280657,0.1,30,0,1,8
2025-05-21T10:04:41.364929,6.666725158691406,0.5466176497088184,2025-05-21T10:04:14.280657,0.1,30,0,1,9
2025-05-21T10:04:43.850591,2.4856622219085693,0.3799641587420575,2025-05-21T10:04:14.280657,0.1,30,0,1,10
