click_datetime,reaction_time,precision_factor,round_start_time_iso,game_version,target_radius,misses_since_last_hit,round_number,click_in_round_number
2025-05-21T10:06:36.410245,2.4517688751220703,0.15016341440120254,2025-05-21T10:06:33.958476,0.1,30,1,1,1
2025-05-21T10:06:39.715285,3.305039882659912,0.6,2025-05-21T10:06:33.958476,0.1,30,1,1,2
2025-05-21T10:06:42.812694,3.09740948677063,0.15016341440120254,2025-05-21T10:06:33.958476,0.1,30,0,1,3
2025-05-21T10:06:44.590360,1.777665615081787,0.5552778645291222,2025-05-21T10:06:33.958476,0.1,30,0,1,4
2025-05-21T10:06:47.341159,2.74967885017395,0.6717047399401299,2025-05-21T10:06:33.958476,0.1,30,0,1,5
2025-05-21T10:06:49.389668,2.0485095977783203,0.5615684520678031,2025-05-21T10:06:33.958476,0.1,30,0,1,6
2025-05-21T10:06:52.278458,2.8882861137390137,0.25987988962751607,2025-05-21T10:06:33.958476,0.1,30,0,1,7
2025-05-21T10:06:55.146336,2.8678786754608154,0.2819780257153995,2025-05-21T10:06:33.958476,0.1,30,1,1,8
2025-05-21T10:06:57.501233,2.3538973331451416,0.3250514422894471,2025-05-21T10:06:33.958476,0.1,30,0,1,9
2025-05-21T10:06:59.737427,2.236194372177124,0.3250514422894471,2025-05-21T10:06:33.958476,0.1,30,0,1,10
